# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,2.125951365414697194e-10,6.705886004691798152e-05,6.723061109070145667e-05,1.083503367922601512e+01,1.133935579130985616e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.523883326919913810e-05,7.543369527491772502e-05,1.070994945712320856e+01,1.121425771204302890e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.441188878036731181e-05,8.463763175005015052e-05,1.058467606415808859e+01,1.108894461396498343e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.469918500522463665e-05,9.496452345370001648e-05,1.045896342143829827e+01,1.096317225212565916e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.062357426190895421e-04,1.065513670828823373e-04,1.033272700183869119e+01,1.083685863325501231e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.191714687002082442e-04,1.195518691003270595e-04,1.020611630286033034e+01,1.071015406530018055e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.336770005010673554e-04,1.341384829870180377e-04,1.007880813373554929e+01,1.058274551705369504e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.499440506922647572e-04,1.505046946528156915e-04,9.950431748495105921e+00,1.045427349886516311e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.681834584192038276e-04,1.688675861701536835e-04,9.821154619335203506e+00,1.032491454329019120e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.886330570141170955e-04,1.894707116576513340e-04,9.690751283044370723e+00,1.019446353259503724e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.115587126713760785e-04,2.125873232227291291e-04,9.559026221452619154e+00,1.006274251403610265e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.372541045224772912e-04,2.385239894588641869e-04,9.426199723679054898e+00,9.929970897915353589e+00
6.099999999999999645e+00,2.125550577328640028e-10,2.660497579518403158e-04,2.676246541192679176e-04,9.292033831983722791e+00,9.795900932739243672e+00
6.150000000000000355e+00,2.125485276260225288e-10,2.983086278132151018e-04,3.002751883266174511e-04,9.153988045061730361e+00,9.657790877393622964e+00
6.200000000000000178e+00,2.125412009644671761e-10,3.344188240689002041e-04,3.369084961033257586e-04,9.009158660152181142e+00,9.512566681543553671e+00
6.250000000000000000e+00,2.125329806156516112e-10,3.748243509535416199e-04,3.780102401811241968e-04,8.858362693069061322e+00,9.360133824943844161e+00
6.299999999999999822e+00,2.125237576110710412e-10,4.200898239270079554e-04,4.241252630841054676e-04,8.702081269801624330e+00,9.201242473580279579e+00
6.349999999999999645e+00,2.125134097061989549e-10,4.707504598204115959e-04,4.758647874445214227e-04,8.536310247012977470e+00,9.032246969467834674e+00
6.400000000000000355e+00,2.125017997657818659e-10,5.273436781995059905e-04,5.339144895299463350e-04,8.372317197732826344e+00,8.865014818037543876e+00
6.450000000000000178e+00,2.124887739534585643e-10,5.905821635846140397e-04,5.990435511464893992e-04,8.220200748594848505e+00,8.710371191521701917e+00
