# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,6.665803530503337631e-10,2.102883058216788159e-04,2.108134368224065503e-04,9.316119945749413489e+00,9.660647811247017103e+00,1.016487797455352649e+01,1.052762985470318569e+01,1.084260565902030748e+01
5.549999999999999822e+00,6.665632063253094288e-10,2.359379689992427442e-04,2.365335243589200337e-04,9.191065349435817211e+00,9.535573359270728133e+00,1.003978967335223871e+01,1.040253223176575403e+01,1.071749950852166933e+01
5.599999999999999645e+00,6.665439679084850500e-10,2.647019774235654776e-04,2.653911495955605152e-04,9.065859620385467110e+00,9.410310917828141442e+00,9.914487551466365289e+00,1.027720293538329344e+01,1.059214515221840713e+01
5.650000000000000355e+00,6.665223827107985052e-10,2.969601460884488766e-04,2.977689461252929241e-04,8.940231562359144846e+00,9.284610533441643554e+00,9.788727510124950015e+00,1.015140126825082234e+01,1.046630626273451981e+01
5.700000000000000178e+00,6.664981645528049833e-10,3.331358791986470196e-04,3.340961831155771526e-04,8.814090286358464255e+00,9.158387831072644758e+00,9.662427714886540286e+00,1.002504623242752047e+01,1.033990243817481769e+01
5.750000000000000000e+00,6.664709923801841302e-10,3.736995109840992864e-04,3.748544420468751101e-04,8.687598024993192780e+00,9.031792496532361270e+00,9.535738648954605878e+00,9.898286974723887965e+00,1.021307915480409179e+01
5.799999999999999822e+00,6.664405060198273603e-10,4.191858992333493284e-04,4.205839825818960369e-04,8.560403725085777182e+00,8.904501500969523420e+00,9.408347470010291147e+00,9.770816321829741469e+00,1.008553450494115111e+01
5.849999999999999645e+00,6.664063014210564188e-10,4.701958400268588570e-04,4.718908807384845135e-04,8.432108338464118447e+00,8.776144270724060448e+00,9.279894891639813181e+00,9.642280967712409279e+00,9.956920564494090797e+00
5.900000000000000355e+00,6.663679253199150030e-10,5.273907601719163849e-04,5.294550324506029334e-04,8.302896149278403470e+00,8.646888537624050741e+00,9.150557691669675364e+00,9.512859011312514212e+00,9.827410423231548009e+00
5.950000000000000178e+00,6.663248692571083805e-10,5.915164146833716725e-04,5.940391266604674696e-04,8.172523757348308493e+00,8.516509063436515703e+00,9.020130997008578788e+00,9.382354187379405630e+00,9.696808733931938207e+00
6.000000000000000000e+00,6.662765628719342547e-10,6.634064937193286148e-04,6.664987044215917641e-04,8.040782987369034629e+00,8.384810590268372721e+00,8.888437132332271062e+00,9.250597281163265961e+00,9.564949144966888639e+00
6.049999999999999822e+00,6.662223663853952703e-10,7.439825766068513700e-04,7.477934342302832013e-04,7.907918443164895450e+00,8.252013770683774396e+00,8.755695852486972797e+00,9.117808381187657574e+00,9.432050707214287399e+00
6.099999999999999645e+00,6.661615621754804865e-10,8.342814432910932625e-04,8.389997491023710573e-04,7.773689237782960504e+00,8.117880951622261421e+00,8.621659728199105643e+00,8.983739114676041027e+00,9.297869488722547260e+00
6.150000000000000355e+00,6.660933453362685994e-10,9.354427816071968042e-04,9.413250079200564469e-04,7.635638718292639737e+00,7.979871340088834586e+00,8.483586891322879353e+00,8.845567112178038371e+00,9.159530006042984951e+00
6.200000000000000178e+00,6.660168130999030808e-10,1.048688543055153457e-03,1.056123362468418736e-03,7.491219715586865391e+00,7.835080758865004213e+00,8.338402996233533315e+00,8.700196268709802894e+00,9.013857250025210988e+00
6.250000000000000000e+00,6.659309529865238017e-10,1.175414507478218578e-03,1.184913532537392334e-03,7.341375887317880711e+00,7.684326836991594689e+00,8.186013792122317057e+00,8.547893922119911281e+00,8.860954728946005332e+00
6.299999999999999822e+00,6.658346295317649148e-10,1.317382143750986780e-03,1.329398714675679178e-03,7.186006270141803043e+00,7.528091218025913633e+00,8.027169960266135718e+00,8.389416937318515011e+00,8.701753459040190819e+00
6.349999999999999645e+00,6.657265694243192667e-10,1.476277181553543264e-03,1.491488875844076099e-03,7.021434931722630779e+00,7.362368533751492805e+00,7.858224932362176673e+00,8.221280742042011980e+00,8.532898964179977952e+00
6.400000000000000355e+00,6.656053448671977914e-10,1.653804030545587148e-03,1.673325711526345251e-03,6.859606335153067391e+00,7.198432092027140072e+00,7.691051305408386440e+00,8.054992246683909229e+00,8.365771969339078851e+00
6.450000000000000178e+00,6.654693549555349058e-10,1.852197497790597025e-03,1.877310579020594148e-03,6.710302490200007242e+00,7.046386012369218577e+00,7.536479301198106384e+00,7.900817345278234427e+00,8.210698817268806238e+00
6.500000000000000000e+00,6.653168048409857655e-10,2.073694401259356529e-03,2.106135750844434235e-03,6.565396555547906132e+00,6.895564803289140343e+00,7.382866570777828485e+00,7.746504656216252727e+00,8.054748566011070920e+00
6.549999999999999822e+00,6.651456824278035443e-10,2.321435473324075845e-03,2.362819370617739567e-03,6.420653653108566061e+00,6.737544054917599112e+00,7.220045646157672081e+00,7.580441657501559405e+00,7.885189913051370070e+00
6.599999999999999645e+00,6.649537323184833778e-10,2.598633887427231025e-03,2.650744534597950126e-03,6.264192725963155794e+00,6.558519086793531017e+00,7.033034708323825157e+00,7.386601297935889932e+00,7.684613365179089328e+00
6.650000000000000355e+00,6.647384266973277121e-10,2.908343790829155066e-03,2.973702966331368599e-03,6.112683178056286692e+00,6.378447141414369526e+00,6.842604525261634763e+00,7.187027013073119974e+00,7.474994538629957219e+00
6.700000000000000178e+00,6.644969328084110499e-10,3.254777154525394147e-03,3.335943799706548012e-03,5.989739839531026178e+00,6.235304677452781164e+00,6.689993173042552144e+00,7.025670000763362566e+00,7.304299949209152487e+00
6.750000000000000000e+00,6.642260766502213728e-10,3.641119263203947305e-03,3.742228036991000761e-03,5.881027205705620986e+00,6.106654825755960303e+00,6.545016040252789935e+00,6.865901897659256292e+00,7.127635901627868975e+00
6.799999999999999822e+00,6.639223024728462336e-10,4.070370038000312336e-03,4.197889303053778907e-03,5.777005420775559230e+00,5.969571968414683738e+00,6.379744153850978705e+00,6.675918752290534997e+00,6.908735429415891360e+00
